name,free_returns,items_sold,status,shipping,price
"THANKSGIVING CARD RECYCLED PAPER GREETINGS ""ENJOY YOUR THANKSGIVING TO THE...""",False,,Brand New,0,283
🦃🧡 Color Street Thanksgiving 2021 FREE TWOSIES & SHIPPING! 🧡🦃,False,57,Brand New,0,1400
NIP DINING FASHIONS Green Turkey Thanksgiving Fall Vinyl Easy Wipe Tablecloth,False,,Brand New,450,840
Thanksgiving Snoopy and Woodstock Happy Turkey Day T-shirt Unisex Gift Idea,False,,New (Other),499,699
"Puritan's Pride Vitamin D3 10,000 IU 100 Softgels 2-PACK THANKSGIVING GIFT",True,,Brand New,0,1399
New ListingHappy Thanksgiving Leaves V3 Sticker Cute Fall Festive Holidays Arts Crafts Kids,False,,Brand New,0,297
5ft Inflatable Turkey Family Airblown Thanksgiving Outdoor Yard Decor US,False,0,Brand New,0,9999
Thanksgiving Hoodie- thankful-grateful-blessed ,False,,Pre-Owned,930,99
"6 FT Thanksgiving Inflatable Outdoor Football Turkey, Blow Up Yard Decoration",False,0,Brand New,0,5926
113PCS Thanksgiving Window Clings Fall Maple Leaves Turkey Fruit Acorns Decorati,True,,Brand New,0,845
"Thanksgiving, cornucopia fruit; Vintage crochet  pattern (#CT1396 123)",False,,Pre-Owned,150,150
Inflatable Turkey Thanksgiving Dinner Gag Gift - Archie McPhee,True,,Brand New,0,1499
Three Gnomes Happy Thanksgiving Autumn Fall Pumpkin Spice T-Shirt For Men Women,False,,Brand New,0,1499
Vintage Amscan Cornucopia Thanksgiving Harvest Honeycomb Tissue Art Decor,False,,Brand New,0,719
New ListingThanksgiving Tissue Turkey Decorations Pumpkin Centerpiece Table Decoration W Ar,False,,Brand New,0,1824
"New ListingThanksgiving Mantle Scarf Fall Fireplace Decor Decoration Lace 20 X 60"" Pumpkin",False,,Brand New,0,1142
Royal Norfolk Dinner Plates Fall Leaves and Acorns Thanksgiving Set of 4 New,True,0,Brand New,0,2699
5ft Thanksgiving Inflatable LED Lighted Turkey Air Blow up Lawn Yard Decoration,True,0,Brand New,0,6999
Filmhoo 2 Pack Fall Decor/Decorations Garland for Home-Fall Thanksgiving Garland,True,,Brand New,0,1102
The Thanksgiving House DVD Movie Emily rose Justin Bruening,True,,,195,1199
Penelope plumm 2t fall and thanksgiving romper,False,,Brand New,460,850
